type,word,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p100,time
阴平调,巴,119.304948,117.504632,116.906403,116.076638,118.313715,124.871771,129.444899,131.079752,131.27801,132.574596,135.893313,0.409923
阴平调,低,125.306272,128.940636,139.918133,149.81591,154.917991,160.2725,168.462012,175.206559,181.153351,184.512182,195.933572,0.437493
阴平调,他,121.112862,117.993163,115.523895,115.670988,119.866649,122.098299,124.577324,127.125299,134.32567,137.807093,141.661776,0.323717
阴平调,加,104.160278,105.620878,108.373279,113.099641,116.709022,119.816998,122.66154,124.937161,124.288746,125.029346,126.650581,0.359619
阳平调,读,117.756016,113.304479,110.620066,108.143635,105.293388,100.393737,97.987168,93.221076,88.337523,83.892874,79.967562,0.384044
阳平调,离,128.47354,135.778674,134.049396,126.135997,122.003445,118.611791,112.337195,108.985367,102.463552,92.334583,82.895522,0.483282
阳平调,皮,123.993955,118.100581,114.201283,111.703836,108.243502,106.226482,102.822586,98.400573,93.22241,89.462719,85.189223,0.370695
阳平调,拔,110.855882,111.090611,110.817795,108.907535,106.046849,101.665635,95.38537,89.921472,86.068977,82.241892000000007,77.719362,0.223488
上声调,马,147.801517,152.782622,151.78156,151.486941,147.634849,142.747743,139.12793,132.717801,119.250662,101.0384,86.160537,0.415502
上声调,堵,187.533353,184.261876,178.307972,171.701155,165.834679,153.473754,136.00206,119.769953,105.154263,91.822657,77.331559,0.377114
上声调,取,170.239902,170.634655,167.308552,162.404206,154.318222,144.402628,127.92285,114.799932,100.266175,84.909353,75.882986,0.403041
上声调,比,196.998533,194.49831,189.393316,180.998924,173.522002,162.63585,148.07403299999999,132.262465,114.301576,102.719791,88.91527,0.485799
去声调,弟,103.068415,93.648239,88.214426,83.955512,80.825222,80.931389,86.5209,92.392207,93.905855,92.31068,98.16364,0.612405
去声调,布,110.52365,101.142041,96.581799,98.315399,99.572497,101.621136,103.60695,109.127615,115.599491,115.028484,117.183401,0.533168
去声调,路,109.824196,101.207916,95.342198,91.143132,89.635199,89.272891,92.606235,98.616069,101.581447,101.843662,110.678632,0.55942
去声调,杜,113.006109,101.054557,91.902527,85.155783,84.058674,84.514142,90.771518,97.93167,100.78257,104.685983,114.400781,0.656628
